City,County,Population,Description,NearbyCities,MainTreeType,Landmark,FocusService
Dennet,Madison,,"Dennet tree operations near SUWANNEE RIVER STATE PARK in Madison County combine CODIT-informed pruning decisions with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hamburg, Leland, Lovett","Bald Cypress, Red Maples, Slash Pines",SUWANNEE RIVER STATE PARK,Root Barrier Installation
Hamburg,Madison,,"Hamburg tree operations near SUWANNEE RIVER STATE PARK in Madison County combine dynamic cabling & bracing systems with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Leland, Lovett, Madison","Live Oaks, Southern Magnolias, Slash Pines",SUWANNEE RIVER STATE PARK,Stump Grinding
Leland,Madison,,"Leland tree operations near SUWANNEE RIVER STATE PARK in Madison County combine ISA TRAQ-style risk matrix scoring with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lovett, Madison, Greenville","Longleaf Pines, Live Oaks, Bald Cypress",SUWANNEE RIVER STATE PARK,Hazardous Tree Removal
Anna Maria,Manatee,,"Anna Maria tree operations near MCKECHNIE FIELD in Manatee County combine compaction relief with vertical mulching with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Ballentine Manor, Braden Castle, Bradenton Beach","Red Maples, Longleaf Pines, Mangroves",MCKECHNIE FIELD,Canopy Reduction
Ballentine Manor,Manatee,,"Ballentine Manor tree operations near LAKE MANATEE STATE PARK in Manatee County combine target clearance to utility line standards with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Braden Castle, Bradenton Beach, Cortez","Live Oaks, Longleaf Pines, Mangroves",LAKE MANATEE STATE PARK,Emergency Storm Cleanup
Braden Castle,Manatee,,"Braden Castle tree operations near MCKECHNIE FIELD in Manatee County combine air-spade root collar excavation with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bradenton Beach, Cortez, Eastgate","Red Maples, Mangroves, Longleaf Pines",MCKECHNIE FIELD,Palm Risk Assessment
Bradenton Beach,Manatee,,"Bradenton Beach tree operations near LAKE MANATEE STATE PARK in Manatee County combine sonic tomography screening for decay pockets with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Cortez, Eastgate, Ellenton","Longleaf Pines, Live Oaks, Slash Pines",LAKE MANATEE STATE PARK,Tree Health Diagnostics
Cortez,Manatee,,"Cortez tree operations near MCKECHNIE FIELD in Manatee County combine resistograph verification on suspect stems with codominant stem reduction and subordinate pruning for stronger unions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eastgate, Ellenton, Bradenton","Live Oaks, Mangroves, Cabbage Palms",MCKECHNIE FIELD,Structural Pruning
Eastgate,Manatee,,"Eastgate tree operations near LAKE MANATEE STATE PARK in Manatee County combine ANSI A300 pruning specs with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Ellenton, Bradenton, Lakewood Ranch","Longleaf Pines, Bald Cypress, Live Oaks",LAKE MANATEE STATE PARK,Root Barrier Installation
Anthony,Marion,,"Anthony tree operations near LAMB PARK in Marion County combine compaction relief with vertical mulching with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Belleview, Camp Roosevelt, Chatmire","Red Maples, Slash Pines, Southern Magnolias",LAMB PARK,Stump Grinding
Belleview,Marion,,"Belleview tree operations near SILVER RIVER STATE PARK in Marion County combine storm load-path assessment and sail-area management with root-plate heave evaluation before controlled removal, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Camp Roosevelt, Chatmire, Citra","Red Maples, Slash Pines, Longleaf Pines",SILVER RIVER STATE PARK,Hazardous Tree Removal
Camp Roosevelt,Marion,,"Camp Roosevelt tree operations near FISHER PARK in Marion County combine dynamic cabling & bracing systems with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Chatmire, Citra, Dallas","Southern Magnolias, Slash Pines, Red Maples",FISHER PARK,Canopy Reduction
Chatmire,Marion,,"Chatmire tree operations near CLASSIC MILE RACE TRACK in Marion County combine ANSI A300 pruning specs with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Citra, Dallas, Ocala","Longleaf Pines, Slash Pines, Southern Magnolias",CLASSIC MILE RACE TRACK,Emergency Storm Cleanup
Citra,Marion,,"Citra tree operations near LAMB PARK in Marion County combine ISA BMP reduction cuts with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Dallas, Ocala, Silver Springs Shores","Longleaf Pines, Slash Pines, Bald Cypress",LAMB PARK,Palm Risk Assessment
Coral Gardens,Martin,,"Coral Gardens tree operations near LEIGHTON PARK in Martin County combine sonic tomography screening for decay pockets with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Golden Gate, Jensen Beach, Lighthouse Point","Sabal Palms, Mangroves, Live Oaks",LEIGHTON PARK,Tree Health Diagnostics
Golden Gate,Martin,,"Golden Gate tree operations near BONAIR BEACH in Martin County combine compaction relief with vertical mulching with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Jensen Beach, Lighthouse Point, Ocean Breeze Park","Mangroves, Sea Grapes, Cabbage Palms",BONAIR BEACH,Structural Pruning
Jensen Beach,Martin,,"Jensen Beach tree operations near LEIGHTON PARK in Martin County combine ganoderma butt rot symptom checks on palms with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lighthouse Point, Ocean Breeze Park, Port Salerno","Black Mangroves, Gumbo Limbo, Sabal Palms",LEIGHTON PARK,Root Barrier Installation
Lighthouse Point,Martin,,"Lighthouse Point tree operations near BONAIR BEACH in Martin County combine ANSI A300 pruning specs with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Ocean Breeze Park, Port Salerno, Rio","Sabal Palms, Black Mangroves, Gumbo Limbo",BONAIR BEACH,Stump Grinding
Ocean Breeze Park,Martin,,"Ocean Breeze Park tree operations near LEIGHTON PARK in Martin County combine air-spade root collar excavation with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Port Salerno, Rio, Seminole Shores","Sabal Palms, Cabbage Palms, Mangroves",LEIGHTON PARK,Hazardous Tree Removal
Port Salerno,Martin,,"Port Salerno tree operations near BONAIR BEACH in Martin County combine ANSI A300 pruning specs with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Rio, Seminole Shores, Palm City","Black Mangroves, Gumbo Limbo, Mangroves",BONAIR BEACH,Canopy Reduction
Rio,Martin,,"Rio tree operations near LEIGHTON PARK in Martin County combine air-spade root collar excavation with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Seminole Shores, Palm City, Stuart","Cabbage Palms, Mangroves, Sea Grapes",LEIGHTON PARK,Emergency Storm Cleanup
Anglers Park,Monroe,,"Anglers Park tree operations near WICKERS SPORTS COMPLEX in Monroe County combine ISA TRAQ-style risk matrix scoring with bud-rot and ganoderma screening with mitigation recommendations, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bay Point, Conch Key, Flamingo","Sea Grapes, Sabal Palms, Royal Palms",WICKERS SPORTS COMPLEX,Palm Risk Assessment
Bay Point,Monroe,,"Bay Point tree operations near WICKERS SPORTS COMPLEX in Monroe County combine target clearance to utility line standards with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Conch Key, Flamingo, Grayvik","Mangroves, Live Oaks, Sea Grapes",WICKERS SPORTS COMPLEX,Tree Health Diagnostics
Conch Key,Monroe,,"Conch Key tree operations near WICKERS SPORTS COMPLEX in Monroe County combine ANSI A300 pruning specs with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Flamingo, Grayvik, Islamorada","Cabbage Palms, Live Oaks, Black Mangroves",WICKERS SPORTS COMPLEX,Structural Pruning
Flamingo,Monroe,,"Flamingo tree operations near WICKERS SPORTS COMPLEX in Monroe County combine ISA BMP reduction cuts with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Grayvik, Islamorada, Key Colony Beach","Mangroves, Gumbo Limbo, Cabbage Palms",WICKERS SPORTS COMPLEX,Root Barrier Installation
Grayvik,Monroe,,"Grayvik tree operations near WICKERS SPORTS COMPLEX in Monroe County combine ISA BMP reduction cuts with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Islamorada, Key Colony Beach, Layton","Black Mangroves, Live Oaks, Sabal Palms",WICKERS SPORTS COMPLEX,Stump Grinding
Islamorada,Monroe,,"Islamorada tree operations near WICKERS SPORTS COMPLEX in Monroe County combine ISA BMP reduction cuts with root-plate heave evaluation before controlled removal, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Key Colony Beach, Layton, Marathon","Sea Grapes, Live Oaks, Sabal Palms",WICKERS SPORTS COMPLEX,Hazardous Tree Removal
Key Colony Beach,Monroe,,"Key Colony Beach tree operations near WICKERS SPORTS COMPLEX in Monroe County combine CODIT-informed pruning decisions with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Layton, Marathon, Marathon Shores","Cabbage Palms, Live Oaks, Sea Grapes",WICKERS SPORTS COMPLEX,Canopy Reduction
Layton,Monroe,,"Layton tree operations near WICKERS SPORTS COMPLEX in Monroe County combine CODIT-informed pruning decisions with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Marathon, Marathon Shores, Key West","Black Mangroves, Sabal Palms, Sea Grapes",WICKERS SPORTS COMPLEX,Emergency Storm Cleanup
Marathon,Monroe,,"Marathon tree operations near WICKERS SPORTS COMPLEX in Monroe County combine ANSI A300 pruning specs with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Marathon Shores, Key West, Anglers Park","Sea Grapes, Gumbo Limbo, Live Oaks",WICKERS SPORTS COMPLEX,Palm Risk Assessment
American Beach,Nassau,,"American Beach tree operations near HALFMOON PARK in Nassau County combine air-spade root collar excavation with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Becker, Boulogne, Callahan","Longleaf Pines, Slash Pines, Southern Magnolias",HALFMOON PARK,Tree Health Diagnostics
Becker,Nassau,,"Becker tree operations near HALFMOON PARK in Nassau County combine dynamic cabling & bracing systems with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Boulogne, Callahan, Chester","Southern Magnolias, Mangroves, Longleaf Pines",HALFMOON PARK,Structural Pruning
Boulogne,Nassau,,"Boulogne tree operations near HALFMOON PARK in Nassau County combine ganoderma butt rot symptom checks on palms with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Callahan, Chester, Hedges","Mangroves, Southern Magnolias, Red Maples",HALFMOON PARK,Root Barrier Installation
Callahan,Nassau,,"Callahan tree operations near HALFMOON PARK in Nassau County combine ganoderma butt rot symptom checks on palms with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Chester, Hedges, Hilliard","Live Oaks, Southern Magnolias, Longleaf Pines",HALFMOON PARK,Stump Grinding
Chester,Nassau,,"Chester tree operations near HALFMOON PARK in Nassau County combine air-spade root collar excavation with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hedges, Hilliard, Kings Ferry","Red Maples, Cabbage Palms, Slash Pines",HALFMOON PARK,Hazardous Tree Removal
Hedges,Nassau,,"Hedges tree operations near HALFMOON PARK in Nassau County combine sonic tomography screening for decay pockets with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hilliard, Kings Ferry, O'Neil","Slash Pines, Red Maples, Mangroves",HALFMOON PARK,Canopy Reduction
Hilliard,Nassau,,"Hilliard tree operations near HALFMOON PARK in Nassau County combine ISA TRAQ-style risk matrix scoring with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Kings Ferry, O'Neil, Old Fernandina","Live Oaks, Mangroves, Cabbage Palms",HALFMOON PARK,Emergency Storm Cleanup
Kings Ferry,Nassau,,"Kings Ferry tree operations near HALFMOON PARK in Nassau County combine storm load-path assessment and sail-area management with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","O'Neil, Old Fernandina, Yulee","Longleaf Pines, Slash Pines, Mangroves",HALFMOON PARK,Palm Risk Assessment
O'Neil,Nassau,,"O'Neil tree operations near HALFMOON PARK in Nassau County combine ANSI A300 pruning specs with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Old Fernandina, Yulee, American Beach","Live Oaks, Slash Pines, Longleaf Pines",HALFMOON PARK,Tree Health Diagnostics
Baker,Okaloosa,,"Baker tree operations near TWIN HILLS PARK in Okaloosa County combine target clearance to utility line standards with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eglin Village, Galliver, Cinco Bayou","Live Oaks, Longleaf Pines, Mangroves",TWIN HILLS PARK,Structural Pruning
Eglin Village,Okaloosa,,"Eglin Village tree operations near JET STADIUM in Okaloosa County combine ganoderma butt rot symptom checks on palms with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Galliver, Cinco Bayou, Holt","Slash Pines, Cabbage Palms, Red Maples",JET STADIUM,Root Barrier Installation
Galliver,Okaloosa,,"Galliver tree operations near CLEARWATER PARK in Okaloosa County combine dynamic cabling & bracing systems with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Cinco Bayou, Holt, Laurel Hill","Slash Pines, Cabbage Palms, Longleaf Pines",CLEARWATER PARK,Stump Grinding
Cinco Bayou,Okaloosa,,"Cinco Bayou tree operations near FORT WALTON BEACH PARK in Okaloosa County combine sonic tomography screening for decay pockets with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Holt, Laurel Hill, Crestview","Southern Magnolias, Slash Pines, Cabbage Palms",FORT WALTON BEACH PARK,Hazardous Tree Removal
Holt,Okaloosa,,"Holt tree operations near TWIN HILLS PARK in Okaloosa County combine ISA BMP reduction cuts with crown reduction using lateral reduction cuts to manage wind sail, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Laurel Hill, Crestview, Wright","Live Oaks, Cabbage Palms, Longleaf Pines",TWIN HILLS PARK,Canopy Reduction
Barber Quarters,Okeechobee,,"Barber Quarters tree operations near BIG BEAR BEACH in Okeechobee County combine ISA BMP reduction cuts with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Basswood Estates, Cypress Quarters, Dixie Ranch Acres","Live Oaks, Royal Palms, Black Mangroves",BIG BEAR BEACH,Emergency Storm Cleanup
Basswood Estates,Okeechobee,,"Basswood Estates tree operations near BIG BEAR BEACH in Okeechobee County combine ISA BMP reduction cuts with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Cypress Quarters, Dixie Ranch Acres, Whispering Pines","Sabal Palms, Gumbo Limbo, Royal Palms",BIG BEAR BEACH,Palm Risk Assessment
Cypress Quarters,Okeechobee,,"Cypress Quarters tree operations near BIG BEAR BEACH in Okeechobee County combine dynamic cabling & bracing systems with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Dixie Ranch Acres, Whispering Pines, Basinger","Black Mangroves, Royal Palms, Sabal Palms",BIG BEAR BEACH,Tree Health Diagnostics
Dixie Ranch Acres,Okeechobee,,"Dixie Ranch Acres tree operations near BIG BEAR BEACH in Okeechobee County combine dynamic cabling & bracing systems with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Whispering Pines, Basinger, Eagle Island","Royal Palms, Sabal Palms, Live Oaks",BIG BEAR BEACH,Structural Pruning
Whispering Pines,Okeechobee,,"Whispering Pines tree operations near BIG BEAR BEACH in Okeechobee County combine dynamic cabling & bracing systems with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Basinger, Eagle Island, Fort Drum","Sea Grapes, Black Mangroves, Royal Palms",BIG BEAR BEACH,Root Barrier Installation
Basinger,Okeechobee,,"Basinger tree operations near BIG BEAR BEACH in Okeechobee County combine storm load-path assessment and sail-area management with full removal of surface roots where trip hazards exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eagle Island, Fort Drum, Fort Kissimmee","Sabal Palms, Black Mangroves, Live Oaks",BIG BEAR BEACH,Stump Grinding
Eagle Island,Okeechobee,,"Eagle Island tree operations near BIG BEAR BEACH in Okeechobee County combine sonic tomography screening for decay pockets with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Fort Drum, Fort Kissimmee, Hilolo","Sabal Palms, Royal Palms, Black Mangroves",BIG BEAR BEACH,Hazardous Tree Removal
Fort Drum,Okeechobee,,"Fort Drum tree operations near BIG BEAR BEACH in Okeechobee County combine ganoderma butt rot symptom checks on palms with crown reduction using lateral reduction cuts to manage wind sail, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Fort Kissimmee, Hilolo, Okeechobee","Sea Grapes, Live Oaks, Gumbo Limbo",BIG BEAR BEACH,Canopy Reduction
Fort Kissimmee,Okeechobee,,"Fort Kissimmee tree operations near BIG BEAR BEACH in Okeechobee County combine ganoderma butt rot symptom checks on palms with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Hilolo, Okeechobee, Barber Quarters","Sea Grapes, Royal Palms, Gumbo Limbo",BIG BEAR BEACH,Emergency Storm Cleanup
Campbell,Osceola,,"Campbell tree operations near FLETCHER PARK MONUMENT in Osceola County combine sonic tomography screening for decay pockets with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Deer Park, Holopaw, Intercession City","Red Maples, Slash Pines, Bald Cypress",FLETCHER PARK MONUMENT,Palm Risk Assessment
Deer Park,Osceola,,"Deer Park tree operations near MOSS PARK in Osceola County combine ANSI A300 pruning specs with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Holopaw, Intercession City, Kenansville","Bald Cypress, Southern Magnolias, Live Oaks",MOSS PARK,Tree Health Diagnostics
Holopaw,Osceola,,"Holopaw tree operations near WALT DISNEY WORLD in Osceola County combine resistograph verification on suspect stems with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Intercession City, Kenansville, Lake Marian Highlands","Slash Pines, Southern Magnolias, Bald Cypress",WALT DISNEY WORLD,Structural Pruning
Intercession City,Osceola,,"Intercession City tree operations near SEAWORLD ORLANDO in Osceola County combine compaction relief with vertical mulching with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Kenansville, Lake Marian Highlands, Narcoossee","Red Maples, Slash Pines, Bald Cypress",SEAWORLD ORLANDO,Root Barrier Installation
Kenansville,Osceola,,"Kenansville tree operations near FLETCHER PARK MONUMENT in Osceola County combine air-spade root collar excavation with full removal of surface roots where trip hazards exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lake Marian Highlands, Narcoossee, Kissimmee","Slash Pines, Southern Magnolias, Longleaf Pines",FLETCHER PARK MONUMENT,Stump Grinding
Lake Marian Highlands,Osceola,,"Lake Marian Highlands tree operations near MOSS PARK in Osceola County combine ISA BMP reduction cuts with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Narcoossee, Kissimmee, St. Cloud","Live Oaks, Southern Magnolias, Longleaf Pines",MOSS PARK,Hazardous Tree Removal
Anclote,Pasco,,"Anclote tree operations near BENITO PARK in Pasco County combine target clearance to utility line standards with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Blanton, Wesley Chapel, Land O' Lakes","Longleaf Pines, Live Oaks, Southern Magnolias",BENITO PARK,Canopy Reduction
Alcoma,Polk,,"Alcoma tree operations near HENLEY FIELD in Polk County combine sonic tomography screening for decay pockets with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Alturas, Babson Park, Bonnie","Live Oaks, Southern Magnolias, Longleaf Pines",HENLEY FIELD,Emergency Storm Cleanup
Alturas,Polk,,"Alturas tree operations near EAST PARK SOFTBALL COMPLEX in Polk County combine dynamic cabling & bracing systems with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Babson Park, Bonnie, Lakeland","Bald Cypress, Longleaf Pines, Southern Magnolias",EAST PARK SOFTBALL COMPLEX,Palm Risk Assessment
Babson Park,Polk,,"Babson Park tree operations near ROTARY PARK in Polk County combine compaction relief with vertical mulching with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bonnie, Lakeland, Poinciana","Slash Pines, Southern Magnolias, Longleaf Pines",ROTARY PARK,Tree Health Diagnostics
Bostwick,Putnam,,"Bostwick tree operations near SHAW BUCK PARK in Putnam County combine resistograph verification on suspect stems with codominant stem reduction and subordinate pruning for stronger unions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bridgeport, Buffalo Bluff, Crescent City","Red Maples, Longleaf Pines, Live Oaks",SHAW BUCK PARK,Structural Pruning
Bridgeport,Putnam,,"Bridgeport tree operations near SHAW BUCK PARK in Putnam County combine dynamic cabling & bracing systems with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Buffalo Bluff, Crescent City, Crescent City Station","Bald Cypress, Red Maples, Slash Pines",SHAW BUCK PARK,Root Barrier Installation
Buffalo Bluff,Putnam,,"Buffalo Bluff tree operations near SHAW BUCK PARK in Putnam County combine resistograph verification on suspect stems with full removal of surface roots where trip hazards exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Crescent City, Crescent City Station, Denver","Red Maples, Bald Cypress, Slash Pines",SHAW BUCK PARK,Stump Grinding
Crescent City,Putnam,,"Crescent City tree operations near SHAW BUCK PARK in Putnam County combine resistograph verification on suspect stems with root-plate heave evaluation before controlled removal, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Crescent City Station, Denver, East Palatka","Longleaf Pines, Bald Cypress, Slash Pines",SHAW BUCK PARK,Hazardous Tree Removal
Crescent City Station,Putnam,,"Crescent City Station tree operations near SHAW BUCK PARK in Putnam County combine ISA TRAQ-style risk matrix scoring with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Denver, East Palatka, Federal Point","Southern Magnolias, Slash Pines, Red Maples",SHAW BUCK PARK,Canopy Reduction
Denver,Putnam,,"Denver tree operations near SHAW BUCK PARK in Putnam County combine CODIT-informed pruning decisions with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","East Palatka, Federal Point, Florahome","Longleaf Pines, Red Maples, Slash Pines",SHAW BUCK PARK,Emergency Storm Cleanup
East Palatka,Putnam,,"East Palatka tree operations near SHAW BUCK PARK in Putnam County combine ganoderma butt rot symptom checks on palms with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Federal Point, Florahome, Francis","Slash Pines, Bald Cypress, Red Maples",SHAW BUCK PARK,Palm Risk Assessment
Federal Point,Putnam,,"Federal Point tree operations near SHAW BUCK PARK in Putnam County combine ISA TRAQ-style risk matrix scoring with soil pH/EC checks, foliar analysis, and irrigation pattern review, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Florahome, Francis, Palatka","Bald Cypress, Slash Pines, Longleaf Pines",SHAW BUCK PARK,Tree Health Diagnostics
Florahome,Putnam,,"Florahome tree operations near SHAW BUCK PARK in Putnam County combine ganoderma butt rot symptom checks on palms with codominant stem reduction and subordinate pruning for stronger unions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Francis, Palatka, Bostwick","Slash Pines, Live Oaks, Longleaf Pines",SHAW BUCK PARK,Structural Pruning
Bagdad,Santa Rosa,,"Bagdad tree operations near NAVARRE BEACH STATE PARK in Santa Rosa County combine sonic tomography screening for decay pockets with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Brownsdale, Chumuckla Springs, Floridatown","Bald Cypress, Cabbage Palms, Mangroves",NAVARRE BEACH STATE PARK,Root Barrier Installation
Brownsdale,Santa Rosa,,"Brownsdale tree operations near ESCAMBIA RIVER STATE WILDLIFE MANAGEMENT AREA in Santa Rosa County combine ganoderma butt rot symptom checks on palms with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Chumuckla Springs, Floridatown, Gulf Breeze","Cabbage Palms, Bald Cypress, Slash Pines",ESCAMBIA RIVER STATE WILDLIFE MANAGEMENT AREA,Stump Grinding
Chumuckla Springs,Santa Rosa,,"Chumuckla Springs tree operations near OPAL BEACH in Santa Rosa County combine ISA BMP reduction cuts with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Floridatown, Gulf Breeze, Harold","Slash Pines, Bald Cypress, Mangroves",OPAL BEACH,Hazardous Tree Removal
Floridatown,Santa Rosa,,"Floridatown tree operations near BLACKWATER HERITAGE TRAIL STATE PARK in Santa Rosa County combine sonic tomography screening for decay pockets with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Gulf Breeze, Harold, Holley","Live Oaks, Mangroves, Southern Magnolias",BLACKWATER HERITAGE TRAIL STATE PARK,Canopy Reduction
Gulf Breeze,Santa Rosa,,"Gulf Breeze tree operations near NAVARRE BEACH STATE PARK in Santa Rosa County combine sonic tomography screening for decay pockets with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Harold, Holley, Navarre","Southern Magnolias, Red Maples, Longleaf Pines",NAVARRE BEACH STATE PARK,Emergency Storm Cleanup
